date,value_date,counterparty,entity,currency,category,method,amount_local,amount_usd,ref,status,reconciled
2026-05-20,2026-05-20,HMRC,Cobalt UK Ltd.,GBP,Tax payment,FPS,-640000,-813440,TAX-0520-UK,posted,true
2026-05-21,2026-05-21,McKinsey & Company,Cobalt Inc.,USD,AP run,ACH,-438645,-438645,AP-0521-01,posted,true
2026-05-21,2026-05-21,AWS EMEA SARL,Cobalt Inc.,USD,AP run,ACH,-295065,-295065,AP-0521-02,posted,true
2026-05-21,2026-05-21,Equinix Data Centers,Cobalt UK Ltd.,GBP,AP run,SEPA,-672414,-854638,AP-0521-03,posted,true
2026-05-21,2026-05-21,Greenfield Energy,Cobalt UK Ltd.,GBP,AR collection,Wire,1467488,1865177,AR-0521-01,posted,true
2026-05-21,2026-05-21,Sterling Retail Group,Cobalt Europe B.V.,EUR,AR collection,SEPA,1436668,1557635,AR-0521-02,posted,true
2026-05-21,2026-05-23,Greenfield Energy,Cobalt Inc.,USD,AR collection,ACH,2080894,2080894,AR-0521-03,posted,true
2026-05-21,2026-05-21,Meridian Foods Corp,Cobalt Inc.,USD,AR collection,ACH,1228518,1228518,AR-0521-04,posted,true
2026-05-21,2026-05-21,Northwind Logistics,Cobalt Inc.,USD,AR collection,ACH,1090305,1090305,AR-0521-05,posted,true
2026-05-21,2026-05-22,Halcyon Media,Cobalt Inc.,USD,AR collection,ACH,2134961,2134961,AR-0521-06,posted,true
2026-05-22,2026-05-23,Equinix Data Centers,Cobalt Inc.,USD,AP run,ACH,-902390,-902390,AP-0522-01,posted,true
2026-05-22,2026-05-24,Workday Inc.,Cobalt Inc.,USD,AP run,ACH,-381519,-381519,AP-0522-02,posted,true
2026-05-22,2026-05-22,Workday Inc.,Cobalt UK Ltd.,GBP,AP run,SEPA,-472240,-600217,AP-0522-03,posted,true
2026-05-22,2026-05-23,Equinix Data Centers,Cobalt Inc.,USD,AP run,ACH,-774797,-774797,AP-0522-04,posted,true
2026-05-22,2026-05-22,Marsh Insurance,Cobalt UK Ltd.,GBP,AP run,SEPA,-743944,-945553,AP-0522-05,posted,true
2026-05-22,2026-05-22,Pinnacle Software Ltd,Cobalt Europe B.V.,EUR,AR collection,SEPA,2135206,2314990,AR-0522-01,posted,true
2026-05-22,2026-05-22,Northwind Logistics,Cobalt Europe B.V.,EUR,AR collection,SEPA,1835215,1989740,AR-0522-02,posted,true
2026-05-22,2026-05-22,Sequoia Components,Cobalt Inc.,USD,AR collection,ACH,1784786,1784786,AR-0522-03,posted,true
2026-05-22,2026-05-23,Veridian Industries,Cobalt Europe B.V.,EUR,AR collection,SEPA,1853929,2010030,AR-0522-04,posted,true
2026-05-22,2026-05-22,Sequoia Components,Cobalt Inc.,USD,AR collection,ACH,1710102,1710102,AR-0522-05,posted,true
2026-05-22,2026-05-22,BNP Paribas,Cobalt UK Ltd.,GBP,FX settle,Wire,1676698,2131083,FX-0522-01,posted,true
2026-05-22,2026-05-23,Cobalt Inc.,Cobalt do Brasil Ltda.,BRL,Intercompany,Wire,1201006,220985,ICO-0522-01,posted,true
2026-05-22,2026-05-24,Brex Treasury,Cobalt Inc.,USD,MMF sweep,Internal,-5275678,-5275678,SWEEP-0522-01,posted,true
2026-05-25,2026-05-25,Equinix Data Centers,Cobalt Inc.,USD,AP run,ACH,-471494,-471494,AP-0525-01,posted,true
2026-05-25,2026-05-27,AWS EMEA SARL,Cobalt UK Ltd.,GBP,AP run,SEPA,-669660,-851138,AP-0525-02,posted,true
2026-05-25,2026-05-25,Adobe Systems,Cobalt UK Ltd.,GBP,AP run,SEPA,-789821,-1003862,AP-0525-03,posted,true
2026-05-25,2026-05-26,Iron Mountain,Cobalt UK Ltd.,GBP,AP run,SEPA,-489370,-621989,AP-0525-04,posted,true
2026-05-25,2026-05-26,Flexport Inc.,Cobalt Inc.,USD,AP run,ACH,-476502,-476502,AP-0525-05,posted,true
2026-05-25,2026-05-27,Orion Semiconductor,Cobalt Europe B.V.,EUR,AR collection,SEPA,1777957,1927661,AR-0525-01,posted,true
2026-05-25,2026-05-27,Northwind Logistics,Cobalt Inc.,USD,AR collection,ACH,1750967,1750967,AR-0525-02,posted,true
2026-05-25,2026-05-27,Orion Semiconductor,Cobalt Inc.,USD,AR collection,ACH,1993176,1993176,AR-0525-03,posted,true
2026-05-25,2026-05-26,Northwind Logistics,Cobalt Inc.,USD,AR collection,ACH,1093974,1093974,AR-0525-04,posted,true
2026-05-25,2026-05-25,Orion Semiconductor,Cobalt Inc.,USD,AR collection,ACH,1150294,1150294,AR-0525-05,posted,true
2026-05-25,2026-05-26,Aperture Devices,Cobalt Inc.,USD,AR collection,ACH,2034765,2034765,AR-0525-06,posted,true
2026-05-25,2026-05-25,Brex Treasury,Cobalt Inc.,USD,Interest,Internal,196295,196295,INT-0525-01,posted,true
2026-05-25,2026-05-25,JPMorgan Chase,Cobalt Inc.,USD,Interest,Internal,89640,89640,INT-0525-02,posted,true
2026-05-25,2026-05-26,Brex Treasury,Cobalt Europe B.V.,EUR,MMF sweep,Internal,-4926469,-5341278,SWEEP-0525-01,posted,true
2026-05-26,2026-05-26,ServiceNow Inc.,Cobalt UK Ltd.,GBP,AP run,SEPA,-427974,-543955,AP-0526-01,posted,true
2026-05-26,2026-05-27,CBRE Facilities,Cobalt UK Ltd.,GBP,AP run,SEPA,-721532,-917067,AP-0526-02,posted,true
2026-05-26,2026-05-28,Pinnacle Software Ltd,Cobalt UK Ltd.,GBP,AR collection,Wire,1361474,1730433,AR-0526-01,posted,true
2026-05-26,2026-05-26,BlueRiver Manufacturing,Cobalt UK Ltd.,GBP,AR collection,Wire,1118237,1421279,AR-0526-02,posted,true
2026-05-26,2026-05-27,Atlas Freight Co.,Cobalt Europe B.V.,EUR,AR collection,SEPA,1064774,1154428,AR-0526-03,posted,true
2026-05-26,2026-05-28,Vantage Pharma,Cobalt APAC Pte.,SGD,AR collection,Wire,2730230,2020370,AR-0526-04,posted,true
2026-05-26,2026-05-28,Sterling Retail Group,Cobalt Europe B.V.,EUR,AR collection,SEPA,2314620,2509511,AR-0526-05,posted,true
2026-05-26,2026-05-26,Halcyon Media,Cobalt Europe B.V.,EUR,AR collection,SEPA,2023771,2194173,AR-0526-06,posted,true
2026-05-26,2026-05-28,Halcyon Media,Cobalt Europe B.V.,EUR,AR collection,SEPA,1928222,2090578,AR-0526-07,posted,true
2026-05-26,2026-05-27,BNP Paribas,Cobalt Europe B.V.,EUR,FX settle,Wire,-1369734,-1485066,FX-0526-01,posted,true
2026-05-26,2026-05-26,JPMorgan Chase,Cobalt Inc.,USD,MMF sweep,Internal,-6222376,-6222376,SWEEP-0526-01,posted,true
2026-05-27,2026-05-27,Flexport Inc.,Cobalt Europe B.V.,EUR,AP run,SEPA,-548820,-595031,AP-0527-01,posted,true
2026-05-27,2026-05-27,DHL Global Forwarding,Cobalt Inc.,USD,AP run,ACH,-400893,-400893,AP-0527-02,posted,true
2026-05-27,2026-05-27,ServiceNow Inc.,Cobalt Inc.,USD,AP run,ACH,-916670,-916670,AP-0527-03,posted,true
2026-05-27,2026-05-27,Oracle Corp.,Cobalt Inc.,USD,AP run,ACH,-631406,-631406,AP-0527-04,posted,true
2026-05-27,2026-05-27,AWS EMEA SARL,Cobalt UK Ltd.,GBP,AP run,SEPA,-790666,-1004936,AP-0527-05,posted,true
2026-05-27,2026-05-29,CBRE Facilities,Cobalt Inc.,USD,AP run,ACH,-421004,-421004,AP-0527-06,posted,true
2026-05-27,2026-05-28,Adobe Systems,Cobalt UK Ltd.,GBP,AP run,SEPA,-513209,-652289,AP-0527-07,posted,true
2026-05-27,2026-05-28,Adobe Systems,Cobalt Inc.,USD,AP run,ACH,-497958,-497958,AP-0527-08,posted,true
2026-05-27,2026-05-27,Adobe Systems,Cobalt Inc.,USD,AP run,ACH,-628668,-628668,AP-0527-09,posted,true
2026-05-27,2026-05-27,Cascade Health Systems,Cobalt Europe B.V.,EUR,AR collection,SEPA,1717242,1861834,AR-0527-01,posted,true
2026-05-27,2026-05-29,Dell Technologies,Cobalt Inc.,USD,Capex,Wire,-640000,-640000,CAPX-0527-01,posted,true
2026-05-28,2026-05-29,CBRE Facilities,Cobalt UK Ltd.,GBP,AP run,SEPA,-488213,-620519,AP-0528-01,posted,true
2026-05-28,2026-05-29,Adobe Systems,Cobalt Inc.,USD,AP run,ACH,-615731,-615731,AP-0528-02,posted,true
2026-05-28,2026-05-30,AWS EMEA SARL,Cobalt Inc.,USD,AP run,ACH,-701152,-701152,AP-0528-03,posted,true
2026-05-28,2026-05-30,Greenfield Energy,Cobalt Inc.,USD,AR collection,ACH,1319459,1319459,AR-0528-01,posted,true
2026-05-28,2026-05-30,Aperture Devices,Cobalt UK Ltd.,GBP,AR collection,Wire,1010222,1283992,AR-0528-02,posted,true
2026-05-28,2026-05-28,Cascade Health Systems,Cobalt Inc.,USD,AR collection,ACH,2602269,2602269,AR-0528-03,posted,true
2026-05-28,2026-05-29,Pinnacle Software Ltd,Cobalt UK Ltd.,GBP,AR collection,Wire,1220937,1551811,AR-0528-04,posted,true
2026-05-28,2026-05-30,Pinnacle Software Ltd,Cobalt Inc.,USD,AR collection,ACH,1527755,1527755,AR-0528-05,posted,true
2026-05-28,2026-05-29,Orion Semiconductor,Cobalt Inc.,USD,AR collection,ACH,1397422,1397422,AR-0528-06,posted,true
2026-05-28,2026-05-28,Orion Semiconductor,Cobalt Inc.,USD,AR collection,ACH,1735737,1735737,AR-0528-07,posted,true
2026-05-28,2026-05-28,Halcyon Media,Cobalt Europe B.V.,EUR,AR collection,SEPA,1025129,1111445,AR-0528-08,posted,true
2026-05-28,2026-05-29,HSBC,Cobalt APAC Pte.,SGD,FX settle,Wire,2637068,1951430,FX-0528-01,posted,true
2026-05-28,2026-05-28,JPMorgan Chase,Cobalt Inc.,USD,MMF sweep,Internal,-5572125,-5572125,SWEEP-0528-01,posted,true
2026-05-28,2026-05-30,DGFiP,Cobalt Europe B.V.,EUR,Tax payment,SEPA,-910000,-986622,TAX-0528-FR,posted,true
2026-05-29,2026-05-30,ServiceNow Inc.,Cobalt Europe B.V.,EUR,AP run,SEPA,-557599,-604549,AP-0529-01,posted,true
2026-05-29,2026-05-29,CBRE Facilities,Cobalt Europe B.V.,EUR,AP run,SEPA,-601143,-651759,AP-0529-02,posted,true
2026-05-29,2026-05-29,ServiceNow Inc.,Cobalt Europe B.V.,EUR,AP run,SEPA,-711899,-771841,AP-0529-03,posted,true
2026-05-29,2026-05-29,WeWork Companies,Cobalt UK Ltd.,GBP,AP run,SEPA,-410670,-521962,AP-0529-04,posted,true
2026-05-29,2026-05-29,Workday Inc.,Cobalt Inc.,USD,AP run,ACH,-617703,-617703,AP-0529-05,posted,true
2026-05-29,2026-05-29,Pinnacle Software Ltd,Cobalt Europe B.V.,EUR,AR collection,SEPA,1794680,1945792,AR-0529-01,posted,true
2026-05-29,2026-05-29,BlueRiver Manufacturing,Cobalt Inc.,USD,AR collection,ACH,1469927,1469927,AR-0529-02,posted,true
2026-05-29,2026-05-30,BNP Paribas,Cobalt UK Ltd.,GBP,FX settle,Wire,2269979,2885143,FX-0529-01,posted,true
2026-05-29,2026-05-31,ADP Payroll,Cobalt Inc.,USD,Payroll,ACH,-3060368,-3060368,PAYR-0529-01,posted,true
2026-05-29,2026-05-29,ADP Payroll,Cobalt Europe B.V.,EUR,Payroll,SEPA,-1273152,-1380351,PAYR-0529-02,posted,true
2026-05-29,2026-05-30,ADP Payroll,Cobalt UK Ltd.,GBP,Payroll,FPS,-908865,-1155167,PAYR-0529-03,posted,true
2026-05-29,2026-05-31,ADP Payroll,Cobalt APAC Pte.,SGD,Payroll,Wire,-1506451,-1114774,PAYR-0529-04,posted,true
2026-05-29,2026-05-30,JPMorgan Chase,Cobalt Inc.,USD,MMF sweep,Internal,-7433190,-7433190,SWEEP-0529-01,posted,true
2026-05-30,2026-05-30,JPMorgan Chase,Cobalt Treasury Corp.,USD,Debt interest,Wire,-1684500,-1684500,DEBT-0530-TL,posted,true
2026-06-01,2026-06-03,Iron Mountain,Cobalt UK Ltd.,GBP,AP run,SEPA,-520765,-661892,AP-0601-01,posted,true
2026-06-01,2026-06-03,WeWork Companies,Cobalt UK Ltd.,GBP,AP run,SEPA,-807512,-1026348,AP-0601-02,posted,true
2026-06-01,2026-06-02,Marsh Insurance,Cobalt Inc.,USD,AP run,ACH,-628428,-628428,AP-0601-03,posted,true
2026-06-01,2026-06-01,ServiceNow Inc.,Cobalt Inc.,USD,AP run,ACH,-719526,-719526,AP-0601-04,posted,true
2026-06-01,2026-06-01,WeWork Companies,Cobalt Inc.,USD,AP run,ACH,-395205,-395205,AP-0601-05,posted,true
2026-06-01,2026-06-01,Northwind Logistics,Cobalt Inc.,USD,AR collection,ACH,2104007,2104007,AR-0601-01,posted,true
2026-06-01,2026-06-01,Meridian Foods Corp,Cobalt Europe B.V.,EUR,AR collection,SEPA,1709961,1853940,AR-0601-02,posted,true
2026-06-01,2026-06-01,Lumen Retail Partners,Cobalt Inc.,USD,AR collection,ACH,1746236,1746236,AR-0601-03,posted,true
2026-06-01,2026-06-03,Greenfield Energy,Cobalt Europe B.V.,EUR,AR collection,SEPA,1345268,1458540,AR-0601-04,posted,true
2026-06-01,2026-06-02,HSBC,Cobalt do Brasil Ltda.,BRL,FX settle,Wire,1786671,328747,FX-0601-01,posted,true
2026-06-01,2026-06-01,Brex Treasury,Cobalt Inc.,USD,Interest,Internal,256688,256688,INT-0601-01,posted,true
2026-06-01,2026-06-01,JPMorgan Chase,Cobalt Inc.,USD,Interest,Internal,79565,79565,INT-0601-02,posted,true
2026-06-01,2026-06-03,JPMorgan Chase,Cobalt Europe B.V.,EUR,MMF sweep,Internal,-6833453,-7408830,SWEEP-0601-01,posted,true
2026-06-02,2026-06-02,Adobe Systems,Cobalt UK Ltd.,GBP,AP run,SEPA,-697670,-886739,AP-0602-01,posted,true
2026-06-02,2026-06-02,AWS EMEA SARL,Cobalt Inc.,USD,AP run,ACH,-674943,-674943,AP-0602-02,posted,true
2026-06-02,2026-06-03,Flexport Inc.,Cobalt Inc.,USD,AP run,ACH,-330673,-330673,AP-0602-03,posted,true
2026-06-02,2026-06-02,Greenfield Energy,Cobalt APAC Pte.,SGD,AR collection,Wire,1375521,1017886,AR-0602-01,posted,true
2026-06-02,2026-06-02,Halcyon Media,Cobalt APAC Pte.,SGD,AR collection,Wire,2431030,1798962,AR-0602-02,posted,true
2026-06-02,2026-06-04,Northwind Logistics,Cobalt UK Ltd.,GBP,AR collection,Wire,1564784,1988840,AR-0602-03,posted,true
2026-06-02,2026-06-03,Halcyon Media,Cobalt APAC Pte.,SGD,AR collection,Wire,2750227,2035168,AR-0602-04,posted,true
2026-06-02,2026-06-03,Halcyon Media,Cobalt Europe B.V.,EUR,AR collection,SEPA,1424969,1544951,AR-0602-05,posted,true
2026-06-02,2026-06-02,Greenfield Energy,Cobalt Europe B.V.,EUR,AR collection,SEPA,1686161,1828136,AR-0602-06,posted,true
2026-06-02,2026-06-04,Northwind Logistics,Cobalt Europe B.V.,EUR,AR collection,SEPA,1049630,1138009,AR-0602-07,posted,true
2026-06-02,2026-06-04,Pinnacle Software Ltd,Cobalt Inc.,USD,AR collection,ACH,1870555,1870555,AR-0602-08,posted,true
2026-06-02,2026-06-02,Sterling Retail Group,Cobalt Inc.,USD,AR collection,ACH,1380252,1380252,AR-0602-09,posted,true
2026-06-02,2026-06-02,Atlas Freight Co.,Cobalt Europe B.V.,EUR,AR collection,SEPA,2342078,2539281,AR-0602-10,posted,true
2026-06-02,2026-06-02,Greenfield Energy,Cobalt Europe B.V.,EUR,AR collection,SEPA,2232117,2420061,AR-0602-11,posted,true
2026-06-02,2026-06-03,JPMorgan Chase,Cobalt Treasury Corp.,USD,Debt interest,Wire,-312800,-312800,DEBT-0602-RCF,posted,true
2026-06-02,2026-06-04,BNP Paribas,Cobalt UK Ltd.,GBP,FX settle,Wire,2115903,2689313,FX-0602-01,posted,true
2026-06-02,2026-06-03,JPMorgan Chase,Cobalt Inc.,USD,MMF sweep,Internal,-8125523,-8125523,SWEEP-0602-01,posted,true
2026-06-03,2026-06-03,ServiceNow Inc.,Cobalt Inc.,USD,AP run,ACH,-602788,-602788,AP-0603-01,posted,true
2026-06-03,2026-06-04,Oracle Corp.,Cobalt Inc.,USD,AP run,ACH,-587281,-587281,AP-0603-02,posted,true
2026-06-03,2026-06-03,McKinsey & Company,Cobalt Inc.,USD,AP run,ACH,-446686,-446686,AP-0603-03,posted,true
2026-06-03,2026-06-03,ServiceNow Inc.,Cobalt UK Ltd.,GBP,AP run,SEPA,-531977,-676143,AP-0603-04,posted,true
2026-06-03,2026-06-05,BlueRiver Manufacturing,Cobalt Inc.,USD,AR collection,ACH,1515378,1515378,AR-0603-01,posted,true
2026-06-03,2026-06-05,Northwind Logistics,Cobalt Inc.,USD,AR collection,ACH,1024771,1024771,AR-0603-02,posted,true
2026-06-03,2026-06-05,Veridian Industries,Cobalt Europe B.V.,EUR,AR collection,SEPA,1264213,1370660,AR-0603-03,posted,true
2026-06-03,2026-06-03,BNP Paribas,Cobalt UK Ltd.,GBP,FX settle,Wire,-1418044,-1802334,FX-0603-01,posted,true
2026-06-03,2026-06-03,Brex Treasury,Cobalt Inc.,USD,MMF sweep,Internal,-11396210,-11396210,SWEEP-0603-01,posted,true
2026-06-04,2026-06-04,Orion Semiconductor,Cobalt UK Ltd.,GBP,AR collection,Wire,1028214,1306860,AR-0604-01,posted,true
2026-06-04,2026-06-05,Orion Semiconductor,Cobalt Inc.,USD,AR collection,ACH,1471675,1471675,AR-0604-02,posted,true
2026-06-04,2026-06-06,Aperture Devices,Cobalt Europe B.V.,EUR,AR collection,SEPA,1469309,1593025,AR-0604-03,posted,true
2026-06-04,2026-06-05,Northwind Logistics,Cobalt Inc.,USD,AR collection,ACH,2111492,2111492,AR-0604-04,posted,true
2026-06-04,2026-06-04,Pinnacle Software Ltd,Cobalt Europe B.V.,EUR,AR collection,SEPA,2265816,2456598,AR-0604-05,posted,true
2026-06-04,2026-06-04,Greenfield Energy,Cobalt Inc.,USD,AR collection,ACH,1377500,1377500,AR-0604-06,posted,true
2026-06-04,2026-06-04,CBRE Facilities,Cobalt Europe B.V.,EUR,Capex,Wire,-1150000,-1246830,CAPX-0604-01,posted,true
2026-06-04,2026-06-04,Citibank,Cobalt Europe B.V.,EUR,FX settle,Wire,-1919150,-2080742,FX-0604-01,posted,true
2026-06-04,2026-06-04,Brex Treasury,Cobalt Inc.,USD,MMF sweep,Internal,-6347211,-6347211,SWEEP-0604-01,posted,true
2026-06-05,2026-06-05,WeWork Companies,Cobalt Inc.,USD,AP run,ACH,-436711,-436711,AP-0605-01,posted,true
2026-06-05,2026-06-05,Workday Inc.,Cobalt Inc.,USD,AP run,ACH,-805779,-805779,AP-0605-02,posted,true
2026-06-05,2026-06-05,Flexport Inc.,Cobalt Inc.,USD,AP run,ACH,-874061,-874061,AP-0605-03,posted,true
2026-06-05,2026-06-06,Workday Inc.,Cobalt Europe B.V.,EUR,AP run,SEPA,-504319,-546783,AP-0605-04,posted,true
2026-06-05,2026-06-05,AWS EMEA SARL,Cobalt Inc.,USD,AP run,ACH,-636404,-636404,AP-0605-05,posted,true
2026-06-05,2026-06-05,WeWork Companies,Cobalt UK Ltd.,GBP,AP run,SEPA,-372455,-473390,AP-0605-06,posted,true
2026-06-05,2026-06-05,Sterling Retail Group,Cobalt Inc.,USD,AR collection,ACH,1388588,1388588,AR-0605-01,posted,true
2026-06-05,2026-06-05,Orion Semiconductor,Cobalt Europe B.V.,EUR,AR collection,SEPA,1357912,1472248,AR-0605-02,posted,true
2026-06-05,2026-06-05,Cascade Health Systems,Cobalt Inc.,USD,AR collection,ACH,1508522,1508522,AR-0605-03,posted,true
2026-06-05,2026-06-06,Vantage Pharma,Cobalt Europe B.V.,EUR,AR collection,SEPA,1324992,1436556,AR-0605-04,posted,true
2026-06-05,2026-06-05,Veridian Industries,Cobalt Inc.,USD,AR collection,ACH,1056062,1056062,AR-0605-05,posted,true
2026-06-05,2026-06-07,HSBC,Cobalt UK Ltd.,GBP,FX settle,Wire,3034347,3856655,FX-0605-01,posted,true
2026-06-05,2026-06-05,Cobalt Inc.,Cobalt India Pvt. Ltd.,INR,Intercompany,Wire,1779597,21337,ICO-0605-01,posted,true
2026-06-05,2026-06-07,JPMorgan Chase,Cobalt Europe B.V.,EUR,MMF sweep,Internal,-5475449,-5936482,SWEEP-0605-01,posted,true
2026-06-08,2026-06-09,Atlas Freight Co.,Cobalt Europe B.V.,EUR,AR collection,SEPA,2104832,2282059,AR-0608-01,posted,true
