sku,title,category,price,original_price,in_stock,color,material,url
TC-AP-0404,The Trucker Jacket,apparel,165,165,false,Stonewash,Denim,https://www.tecovas.com/products/trucker-jacket
TC-AP-0405,The Flannel,apparel,95,95,true,Rust Plaid,Brushed Cotton,https://www.tecovas.com/products/flannel
TC-AP-0406,The Henley,apparel,55,55,true,Heather Bone,Cotton Slub,https://www.tecovas.com/products/henley
TC-AP-0407,The Pocket Tee,apparel,38,38,true,Washed Black,Pima Cotton,https://www.tecovas.com/products/pocket-tee
TC-AP-0408,The Western Dress,apparel,135,165,true,Prairie Floral,Rayon,https://www.tecovas.com/products/western-dress
TC-AP-0409,The Prairie Blouse,apparel,98,98,true,Cream,Cotton Voile,https://www.tecovas.com/products/prairie-blouse
TC-AP-0410,The Ranch Vest,apparel,145,145,false,Olive,Quilted Nylon,https://www.tecovas.com/products/ranch-vest
TC-AP-0411,The Jean Straight,apparel,98,98,true,Medium Wash,Denim,https://www.tecovas.com/products/jean-straight
TC-AP-0412,The Boot-Cut Jean,apparel,98,98,true,Dark Wash,Denim,https://www.tecovas.com/products/boot-cut-jean
TC-AC-0501,The Cartwright Belt,accessories,95,95,true,Cigar,Bovine Leather,https://www.tecovas.com/products/cartwright-belt
TC-AC-0502,The Ranger Belt,accessories,110,110,true,Black,Bridle Leather,https://www.tecovas.com/products/ranger-belt
TC-AC-0503,The Stockman Belt,accessories,125,125,false,Cognac,Harness Leather,https://www.tecovas.com/products/stockman-belt
TC-AC-0504,The Felt Hat,accessories,195,195,true,Sand,Wool Felt,https://www.tecovas.com/products/felt-hat
TC-AC-0505,The Straw Hat,accessories,125,125,true,Natural,Shantung Straw,https://www.tecovas.com/products/straw-hat
TC-AC-0506,The Trucker Cap,accessories,32,32,true,Bone,Cotton/Mesh,https://www.tecovas.com/products/trucker-cap
TC-AC-0507,The Bandana,accessories,24,24,true,Rust,Cotton,https://www.tecovas.com/products/bandana
TC-AC-0508,The Wool Socks 3-Pack,accessories,35,35,true,Mixed,Merino Wool,https://www.tecovas.com/products/wool-socks
TC-AC-0509,The Leather Wallet,accessories,75,75,true,Cigar,Bovine Leather,https://www.tecovas.com/products/leather-wallet
TC-AC-0510,The Card Holder,accessories,45,45,false,Black,Bovine Leather,https://www.tecovas.com/products/card-holder
TC-AC-0511,The Keychain,accessories,28,28,true,Cognac,Bovine Leather,https://www.tecovas.com/products/keychain
TC-LG-0601,The Weekender Bag,leather-goods,395,395,true,Cigar,Full-Grain Leather,https://www.tecovas.com/products/weekender-bag
TC-LG-0602,The Tote,leather-goods,295,295,true,Cognac,Full-Grain Leather,https://www.tecovas.com/products/tote
TC-LG-0603,The Crossbody,leather-goods,225,225,true,Black,Pebbled Leather,https://www.tecovas.com/products/crossbody
TC-LG-0604,The Dopp Kit,leather-goods,95,95,true,Cigar,Full-Grain Leather,https://www.tecovas.com/products/dopp-kit
TC-LG-0605,The Briefcase,leather-goods,495,495,false,Walnut,Bridle Leather,https://www.tecovas.com/products/briefcase
TC-LG-0606,The Laptop Sleeve,leather-goods,125,125,true,Cognac,Full-Grain Leather,https://www.tecovas.com/products/laptop-sleeve
TC-LG-0607,The Belt Bag,leather-goods,135,135,true,Bone,Pebbled Leather,https://www.tecovas.com/products/belt-bag
TC-LG-0608,The Valet Tray,leather-goods,65,65,true,Cigar,Full-Grain Leather,https://www.tecovas.com/products/valet-tray
TC-CR-0701,The Leather Care Kit,accessories,45,45,true,Neutral,Conditioner/Brush,https://www.tecovas.com/products/leather-care-kit
TC-CR-0702,The Boot Brush,accessories,18,18,true,Wood,Horsehair,https://www.tecovas.com/products/boot-brush
TC-CR-0703,The Cedar Boot Trees,accessories,55,55,true,Cedar,Aromatic Cedar,https://www.tecovas.com/products/cedar-boot-trees
TC-CR-0704,The Boot Jack,accessories,40,40,false,Walnut,Hardwood,https://www.tecovas.com/products/boot-jack
